data_ymd;ano;mes;area;epoca;recuperacao;ndvi;Frequencia
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,406593407;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,436170213;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,48603352;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,2;1,898039216
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,280898876;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,31147541;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,420454545;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,342857143;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,225433526;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,382022472;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,25;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,228070175;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,267015707;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,347593583;1,129411765
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,483516484;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,313131313;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,38372093;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,084033613;1,874509804
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,387096774;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,295918367;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,14619883;0,996078431
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,347826087;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,113924051;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,245508982;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,316455696;0,968627451
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,134199134;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,133928571;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,040462428;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,178571429;0,882352941
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,195530726;1,941176471
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,216374269;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,445652174;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,064;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,264864865;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,395833333;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,177419355;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,11965812;0,862745098
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,093220339;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,292307692;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,115789474;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,019157088;1
